# urea_M frac_D frac_I frac_N
0.000000000000000000e+00 1.512736823275419114e-09 6.371431962788258289e-04 9.993628552909843421e-01
1.000000000000000000e+00 1.248235199030416596e-07 3.794080775864614764e-03 9.962057944006155186e-01
2.000000000000000000e+00 9.871181553614453722e-06 2.165620643628623707e-02 9.783339223821602149e-01
3.000000000000000000e+00 7.887565215694226830e-04 1.249655882251273359e-01 8.742456552533033332e-01
4.000000000000000000e+00 6.076598756053303019e-02 6.956998838802243013e-01 2.435341285592426963e-01
5.000000000000000000e+00 5.776315780785020726e-01 4.149590122490492972e-01 7.409409672448642389e-03
6.000000000000000000e+00 9.689350398295804023e-01 3.104788349848371792e-02 1.707667193581958046e-05
7.000000000000000000e+00 9.999797381286051889e-01 2.026186711339756884e-05 4.281443436272529751e-12
8.000000000000000000e+00 9.999962372474915373e-01 3.762752365956984703e-06 1.425158336320873532e-13
